------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Floating MHK turbine hydrodynamic blade input properties, based on the RM1 tidal current rotor
======  Blade Properties =================================================================
32        NumBlNds    - Number of blade nodes used in the analysis (-)
BlSpn     BlCrvAC     BlSwpAC     BlCrvAng     BlTwist     BlChord     BlAFID     BlCb     BlCenBn     BlCenBt
(m)       (m)         (m)         (deg)        (deg)       (m)         (-)        (-)      (m)         (m)
0.000     0.00        0.00        0.00         12.86       0.800       1          0.9956   0.0000      0.2000
0.150     0.00        0.00        0.00         12.86       0.800       1          0.9956   0.0000      0.2000
0.450     0.00        0.00        0.00         12.86       0.894       2          0.8572   0.0023      0.2202
0.750     0.00        0.00        0.00         12.86       1.118       3          0.6118   0.0082      0.2637
1.050     0.00        0.00        0.00         12.86       1.386       4          0.4145   0.0153      0.3027
1.350     0.00        0.00        0.00         12.86       1.610       5          0.2873   0.0217      0.3131
1.650     0.00        0.00        0.00         12.86       1.704       6          0.2287   0.0250      0.2973
1.950     0.00        0.00        0.00         11.54       1.662       7          0.2099   0.0250      0.2753
2.250     0.00        0.00        0.00         10.44       1.619       8          0.1966   0.0247      0.2565
2.550     0.00        0.00        0.00         9.50        1.577       9          0.1870   0.0245      0.2386
2.850     0.00        0.00        0.00         8.71        1.534       9          0.1870   0.0238      0.2321
3.150     0.00        0.00        0.00         8.02        1.492       9          0.1870   0.0232      0.2258
3.450     0.00        0.00        0.00         7.43        1.450       9          0.1870   0.0225      0.2194
3.750     0.00        0.00        0.00         6.91        1.407       9          0.1870   0.0218      0.2129
4.050     0.00        0.00        0.00         6.45        1.365       9          0.1870   0.0212      0.2066
4.350     0.00        0.00        0.00         6.04        1.322       9          0.1870   0.0205      0.2001
4.650     0.00        0.00        0.00         5.68        1.279       9          0.1870   0.0198      0.1935
4.950     0.00        0.00        0.00         5.35        1.235       9          0.1870   0.0192      0.1869
5.250     0.00        0.00        0.00         5.05        1.192       9          0.1870   0.0185      0.1804
5.550     0.00        0.00        0.00         4.77        1.148       9          0.1870   0.0178      0.1737
5.850     0.00        0.00        0.00         4.51        1.103       9          0.1870   0.0171      0.1669
6.150     0.00        0.00        0.00         4.26        1.058       9          0.1870   0.0164      0.1601
6.450     0.00        0.00        0.00         4.03        1.012       9          0.1870   0.0157      0.1531
6.750     0.00        0.00        0.00         3.80        0.966       9          0.1870   0.0150      0.1462
7.050     0.00        0.00        0.00         3.57        0.920       9          0.1870   0.0143      0.1392
7.350     0.00        0.00        0.00         3.35        0.872       9          0.1870   0.0135      0.1320
7.650     0.00        0.00        0.00         3.13        0.824       9          0.1870   0.0128      0.1247
7.950     0.00        0.00        0.00         2.90        0.776       9          0.1870   0.0120      0.1174
8.250     0.00        0.00        0.00         2.67        0.726       9          0.1870   0.0113      0.1099
8.550     0.00        0.00        0.00         2.43        0.676       9          0.1870   0.0105      0.1023
8.850     0.00        0.00        0.00         2.18        0.626       9          0.1870   0.0097      0.0947
9.000     0.00        0.00        0.00         2.18        0.626       9          0.1870   0.0097      0.0947
